FULL_NAME,WEB_SITE,SHORT_NAME,UC_NO,REGISTER_NO
合肥惟同投资中心（有限合伙）,http://www.zqfinancial.com,惟同投资,920000053137 ,P1013858
无锡大运来投资有限公司,,大运来投资,920007901964 ,P1060339
北京金嘉富亿基金管理有限公司,,金嘉富亿,920000017698 ,P1026012
上海达渡资产管理合伙企业（有限合伙）,,达渡资产,920000014196 ,P1034236
苏州工业园区汇文运通投资企业（有限合伙）,,汇文运通,920007902252 ,P1060316
上海中沃投资管理有限公司,http://www.visino.org,中沃投资,920000013313 ,P1013057
广东中立资产管理有限公司,,中立资产,920000025991 ,P1034146
弘汇（天津）资产管理有限公司,http://www.honghuizichan.com,弘汇资产,920000010515 ,P1026087
上海奔象文化投资管理有限公司,,奔象文化,920000049697 ,P1013701
深圳前海中翰基金管理有限公司,,中翰基金,920000047154 ,P1030575
北京天融博汇资本管理有限公司,,天融博汇,920000054762 ,P1010917
珠海市海泽股权投资基金管理有限公司,,海泽投资,920000043105 ,P1019262
宁波昌东股权投资合伙企业（有限合伙）,,昌东投资,920000043596 ,P1018236
上海赢灿资产管理有限公司,www.ycamc.com,赢灿资产,920000003408 ,P1016968
深圳福泉投资管理有限公司,,福泉投资,920000063138 ,P1025863
浙江天易创业投资有限公司,,天易创投,920000019045 ,P1008777
上海炼石股权投资基金管理有限公司,,炼石投资,920000018667 ,P1021919
大同市汇融资本管理有限公司,,汇融资本,920000002043 ,P1030373
上海致达投资有限公司,http://www.zenitek.com/zenitek/index.htm,致达投资,920000010491 ,P1006309
上海德澄股权投资有限公司,,德澄投资,920000041525 ,P1001286
重庆巨鹏股权投资基金管理有限公司,,重庆巨鹏,920000010657 ,P1018694
浙江恒和投资管理有限公司,,恒和投资,920000045868 ,P1027087
宁波华桐创业投资管理有限公司,,华桐创业,920000014046 ,P1031861
北京浙控金诚资产管理有限公司,,浙控金诚,920000029649 ,P1001131
上海沃源资产管理有限公司,,沃源资产,920000007540 ,P1023960
北京中融信业资本管理有限公司,,中融信业,920000039304 ,P1028484
上海枫火栎泰资产管理有限公司,,枫火栎泰,920000038020 ,P1027320
北京吉祥财富投资管理有限公司,,北京吉祥财富,920000039889 ,P1029449
深圳前海稻谷股权投资基金管理有限公司,,稻谷投资,920000041778 ,P1013759
湖南兴湘投资有限公司,www.hnxxtz.com,,920000056763 ,P1014030
上海通华财富资产管理有限公司,http://www.tonghuafund.com,通华财富,920000000989 ,P1003926
北京容德丰和投资有限公司,,容德丰和,920000010769 ,P1022496
上海孚玉股权投资基金管理有限公司,,孚玉基金,920000029544 ,P1018907
宁波海达睿盈股权投资管理有限公司,,海达睿盈,920000039343 ,P1031653
北京辉弘基金管理中心（有限合伙）,,辉弘基金,920000031864 ,P1030165
北京首泰信诚投资有限公司,,首泰信诚,920000004218 ,P1013916
深圳市泰丰富盛股权投资基金管理有限公司,,泰丰富盛,920000056195 ,P1009785
