郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
盘弄	拨弄
旁敲侧击	隐晦曲折,指桑骂槐,含沙射影,拐弯抹角,拐弯抹脚
神圣	崇高
少许	一些,少少,少量
丢掉	丢弃,扔掉,抛弃,甩掉,遗弃
大声	高声
浇漓	浇薄
中心	中央,中间,主旨,核心,主题,焦点,重点,要旨
欺世盗名	沽名钓誉
褪色	脱色,退色
生色	增光
富余	充裕,宽裕,富裕,富足
杀气腾腾	气势汹汹
地主之谊	东道之谊
声势	声威,气势,阵容
枢路	要津
外交	交际,社交,应酬
荒凉	稀少,芜秽,荒芜,萧条,萧瑟,萧疏,萧索,冷落,疏落,荒漠
糊里糊涂	浑浑噩噩
阵亡	就义,捐躯,殉国,殉难,牺牲
更改	变动,变更,改动,改变,改换,改正,改造,更动,更正,纠正,订正,调换
收购	收买,采购
深醒	深省
租户	佃农,佃户,住客,房客
写照	写真
开工	出工,动工,施工,兴工
星夜	夜晚,黑夜
出卖	出售,发卖,售卖,贩卖,销售
陈腐	古老,破旧,腐化,腐朽,腐烂,腐败,迂腐,陈旧
建立	兴办,创办,创建,创立,创造,建设,建造,成立,树立,设立,建树,创设,确立,竖立,设立建设,开发,建筑
怒目切齿	咬牙切齿
挥汗如雨	挥汗成雨,汗流浃背
江干	江畔
概况	大概,概略,表面,轮廓
流芳百世	千古留名,人死留名,永垂不朽,名垂青史,千古流芳,垂馨千祀,千载扬名
辅弼	首相,宰相
月尾	月底,月终
怅然	怅惘,恻然,惋惜,惘然,痛惜
三灾八难	多灾多难,三灾六难
大众化	普通化
土着土偶	土人
千刀万剐	万剐千刀
原稿	初稿,底稿,草稿,稿本
贵寓	府上
独享权益	利益均沾
补偏救弊	补阙拾遗,补苴罅漏
着急	发急,心焦,慌张,焦心,焦急,焦灼,焦炙,焦虑,焦躁
方巾气	道学味
养老鼠咬布袋	忘恩负义,恩将仇报
形象	抽象
何足挂齿	无足挂齿
前俯后仰	哄堂大笑
洼地	凹地
录取	登科,及第,考中,考取,入选
无可比拟	无与伦比
拒人千里	拒人于千里之外,敬而远之
呈现	体现,展现,展示,映现,显现,显示,显露,流露,浮现,涌现,表现,表露,露出,出现,吐露,暴露
相配	相当,相称
英姿	雄姿,伟貌
敬而远之	咄咄逼人,拒人千里
东洋	东瀛
反馈	反应
讯息	信息,新闻,消息,音信,音讯,信息结构
轻诺寡信	轻言寡信,言而无信
下里巴人	通俗易懂
不虞	不意,不料
星期四	木曜日
票据	单子,单据
养儿防老	有备无患
城市	都会,都市,都邑
牲畜	家畜,牲口,畜生
生硬	僵硬,生疏
方剂	方子,药剂,药方,丹方,药品
动工	开工,兴工,施工
随处	到处,各处,四处,处处,遍地,随地,在在
火烧火燎	心如火焚
青云之志	雄心壮志,鸿鹄之志,壮志凌云
甘愿答应	乐意
荣幸	幸运,侥幸,庆幸,光荣
开掘	发掘,开采,挖掘
成家立业	克绍箕裘,安家立业
抵牾	矛盾,抵触
趣味	乐趣,兴致,兴趣,意思,有趣,风趣,意见意义,兴味
地方官	父母官
公函	公文,公牍
舍生忘死	视死如归,奋不顾身,宁死不屈
粉身碎骨	赴汤蹈火,奋不顾身,肝脑涂地,出生入死
搜索引擎优化	seo
人面兽心	行同狗彘,衣冠禽兽
大智大勇	智勇双全
侮辱	凌辱,欺侮,欺凌,欺压,欺负,羞耻,羞辱,耻辱
激越	亢奋,激昂
恩仇	恩怨
长途跋涉	跋山涉水
悲悼	伤悼,哀伤,哀悼,追悼
弹丸之地	立锥之地,方寸之地,一矢之地
不能不	不得不
珍奇	名贵,宝贵,珍异,珍贵,贵重
严刑	酷刑
赶早	及早,趁早
见机行事	投机取巧,随机应变,见风转舵,见风使舵,趁风扬帆,因时制宜,看风使舵,顺风转舵,便宜行事
得悉	得知,获悉
鼓吹	煽动,鼓动,宣扬,宣传
现款	现金
惹祸	滋事,生事,肇事,闯事,闯祸
心计心情	心机
交纳	缴纳
严刻	严厉,严峻,严格
确立	建立,创立,树立,竖立,设立
此次	这次
添枝接叶	添油加醋
经久	历久,持久,耐久
代替	取代,替代,接替,庖代,代庖
疾风暴雨	急风暴雨
经书	经籍
细雨	小雨,微雨
沁人肺腑	沁人心脾,回肠荡气
消防员	救火员
白日做梦	黄粱美梦,白日见鬼,痴人说梦
娇生惯养	养尊处优
丫环	丫鬟
太长	过长
创痍满目	百孔千疮
期期艾艾	支支吾吾
讪谤	毁谤
减员	增员
清朝	清代
无精打彩	无精打采,愁眉苦脸,垂头丧气,灰心丧气
斗篷	大氅
感恩	感德,戴德
清朗	明朗,清明,明亮清明
烦嚣	嘈杂,烦扰,纷扰
坐罪	治罪
大吹牛皮	大张其词,大言不惭
国祚	鼎祚
洗礼	浸礼
绵连	绵联
囊空如洗	床头金尽,阮囊羞涩,不名一文,一贫如洗,廉洁奉公,两袖清风,身无分文,季子囊空,不名一钱
沦落风尘	流离失所
敲诈勒索	巧取豪夺
裕如	余裕,充裕,宽绰,宽裕,阔气,阔绰
首领	主脑,元首,党首,党魁,头头,头目,头领,渠魁,领袖,首脑,魁首,首级
弘愿	壮志,大志,宏愿,雄心
不够格	未入流
乐滋滋	乐陶陶,喜洋洋,喜滋滋,乐孜孜,气呼呼
反叛	作乱,倒戈,反抗,反水,叛变,叛逆,背叛,起义,造反
回来离去	返来
纠葛	瓜葛,纠纷,纠缠,缠绕,轇轕,胶葛
一唱三叹	字正腔圆
挑肥拣瘦	挑三拣四,拈轻怕重
字谜	灯谜
窥察	侦察,窥探,考察,观察,侦查
此中	其中
勘察	勘探,勘测
西岳	华山
偶尔	一时,不常,临时,偶然,时常,有时
陈设	布置,排列,摆列,摆设,罗列,部署,铺排,陈列,胪列
疑惑	困惑,怀疑,狐疑,疑忌,疑虑,纳闷,迷惑,可疑,疑心
笨拙	呆笨,愚拙,愚笨,愚钝,拙劣,拙笨,粗笨,蠢笨,迟钝,鲁钝,鸠拙,愚蠢
放假	休假
献媚	取悦,奉承,巴结,讨好,谀媚,谄媚,谄谀,趋承,趋附,逢迎,趋奉,阿谀,夤缘
去世	丧生,亡故,仙逝,作古,圆寂,弃世,归天,死亡,牺牲,逝世,升天,死,谢世
梵宇	佛寺
窍门	法门,秘诀,诀窍
究竟是	到底是
飞驰	奔驰,疾驰,飞奔
辣手	棘手,毒手
触手碍脚	碍手碍脚
涅而不缁	泥而不滓,出淤泥而不染
拙笨	笨拙,呆滞,呆笨,愚昧,愚笨,愚蠢,迟笨,迟缓,迟钝,鲁钝,鸠拙
禁不住	不由得,忍不住,禁不起
算了吧	免了吧
账本	帐本
算无遗策	计划精巧
积蓄	储存,储蓄,积储,积存,积累,积聚,积贮,蓄积
拙笔	秃笔
诱掖	导引
储蓄	积蓄,储存,积储,积存,积贮,蓄积,储备
签字	具名,签名,署名
良夜	良宵
锋芒毕露	锋芒逼人,脱颖而出,崭露头角
娱乐界	娱乐圈
订阅	定阅
拂袖而去	扬长而去
收歇	休业,停业,歇业
直接了当	直截了当,斩钉截铁
同等	一概,一致,平等,等同,一律,划一
沉湎	沉沦,沉溺
顽疾	恶疾
孤军作战	单刀赴会,单人独马,单枪匹马,孤家寡人
操演	实习,操练,演习,练习
声势赫赫	浩浩荡荡
左支右绌	捉襟见肘,顾此失彼,四面受敌
座无虚席	济济一堂
讲明	声明,注明,表明,解说,讲解,评释,诠释,说明,阐明,批注,疏解,注解
浏览	阅读,欣赏,涉猎
无可厚非	无可非议
闲居	平居
谈笑自若	谈笑风生,泰然自若
朝梁暮晋	朝梁暮陈
少有	少见,稀奇,稀有,罕有,罕见
其中	此中,个中
赤军	红军
绞尽脑汁	千方百计,挖空心思,搜索枯肠,苦思冥想,左思右想
花匠	园丁
大驾	尊驾,台端,阁下
资产	家当,财产,财富,产业
伎俩	手段,手法,手腕,方法,本事,本领,花招,花样,技巧
很有	颇有
繁杂	庞杂,冗杂,复杂,烦琐,繁冗,繁芜
少女	青娥,女郎,奼女
啜泣	呜咽,哭泣,堕泪,抽咽,抽噎,抽泣,流泪,陨泣,饮泣
巴结	献媚,勾串,奉承,奉迎,市欢,讨好,谀媚,谄媚,谄谀,趋奉,趋承,逢迎,阿谀,凑趣,夤缘,勾搭,趋附,勾结
我行我素	刚愎自用
财运亨通	日进斗金
纵目	极目
闺房	闺阁,香闺,内室
不可名状	不可言宣
白日	日间,白天,白昼
判断是非	判别,判定,剖断,推断
地利人和	得天独厚,人地相宜
深刻	深切,深远,深入
头重脚轻	虎头蛇尾
点水不漏	滴水不漏
推让	礼让,谦让,辞让
昏厥	昏倒,昏迷,晕厥,眩晕
凌犯	侵犯
盲人瞎马	履冰临渊,厝火积薪
推许	推崇,推重
罢休	停止,撒手,放弃,放手,甘休,甩手,结束
妄念	妄想
深切	深刻,深入,真切
家景	家境
医院	病院
贱体	顽躯
抓紧	捏紧,加紧
任性妄为	胡作非为,为所欲为,无法无天,为非作歹,专横跋扈,横行霸道,肆无忌惮,作威作福
美貌	玉容,美丽,玉颜,仙颜,仙姿
友情	交情,友谊,情谊,交谊
干预干与	干涉,过问
打仗	交兵,交战,交手,交锋,干戈,兵戈,接触,构兵,宣战,战争
井井有条	井然有序,清清楚楚,头头是道,层次分明,有条有理,有条不紊,齐齐整整,层序分明
息钱	息款
竞渡	赛舟
要地	内地,腹地,要塞,要隘
商定	约定
姨娘	姨妈,阿姨
囤积居奇	奇货可居,待价而沽
人道	人性
愉逸	安乐,康乐,快乐
称愿	如愿
年纪	岁数,年事,年岁,年齿,年龄,年数,年龄结构
阐明	讲明,分析,剖析,叙述,声明,注明,注脚,注解,表明,解析,解说,解释,论述,证明,评释,说明,阐发,阐扬,阐述
一面	一边,部分,一壁
哀辞	悼词
清爽	凉快,清新
淡漠	冷淡,冷漠,冷落,淡薄
揣想	悬想
以身试法	知法犯法
雅俗共赏	喜闻乐见
错漏	讹夺
揶揄	嘲弄,嘲笑,嘲讽,戏弄,讥笑,讥讽,调侃,嗤笑
中兴	复兴
失而复得	合浦珠还,合浦还珠
两全其美	一举两得,面面俱到,一石二鸟,一箭双鵰
反咬一口	倒打一耙
技俩	款式
帷幕	帐幕,帐篷,帐蓬
死乞白赖	死气白赖
间断	中断,中止,休止
较量争论	计算
琐闻	拾零,鳞爪
欢腾	喜悦,快乐,忻悦,愉快,欢乐,欢喜,欢娱,欢快,欢悦,欢欣,欢畅,欢跃,欣喜,高兴,沸腾
铭心刻骨	没齿不忘,沦肌浃髓
兴高采烈	乐不可支,兴致勃勃,喜上眉梢,心花怒放,手舞足蹈,欢欣鼓舞,欣喜若狂,精神奕奕,生龙活虎,载歌载舞,精神焕发
扬长避短	取长补短
浩荡	浩大
矢志不渝	矢志不移
借路	借道
短长	是非,利害
侨民	外侨,移民
女儿态	脂粉气
五月	蒲月
截留	扣留
分明	明明,明显,明晰,明确,显明,显然,显着,清晰,真切,明白,清楚
元帅	元戎
全副	全部
盘旋	回旋,回旋扭转,旋转,旋绕
荒淫无度	荒淫无耻,酒池肉林
逆来顺受	唾面自干,委曲求全
深邃深挚	深沉
干涸	干枯,干燥,枯槁,枯竭,贫乏,枯窘
取缔	废除,作废,撤消,取消,打消
盗首	盗魁
深情	密意,蜜意
飘扬	招展,漂荡,飘舞,飘荡
步兵	步卒
空中阁楼	梦幻泡影
感谢	感动,感激,报答,谢谢,道谢
美酒	旨酒,玉液,琼浆
功亏一篑	前功尽弃,功败垂成,半途而废
干涉	干预干与,干预,插手,过问,干与
整理	清理,清算,拾掇,收拾,整顿,整饬,收拾整顿,料理
移时	少顷
养痈遗患	养虎遗患,养痈成患,养虎伤身
借条	借字,欠据,借据,借约,借单
喝倒彩	喝倒采
勃然大怒	怒发冲冠
泪流满面	泣如雨下,泪如泉涌,泪如雨下,两泪汪汪,泣不成声,泪眼汪汪
